"P0",
"Index [1]","dR [mm]"
821,-7.94079
822,-7.97634
823,-7.91605
824,-7.91713
825,-7.94203
826,-7.88968
827,-7.87467
828,-7.91899
829,-7.9332
830,-7.89773
831,-7.86816
832,-7.87251
833,-7.84907
834,-7.82148
835,-7.83222
836,-7.80096
837,-7.78471
838,-7.7501
839,-7.7424
840,-7.69822
841,-7.63839
842,-7.64003
843,-7.6596
844,-7.63174
845,-7.53302
846,-7.55868
847,-7.54238
848,-7.47808
849,-7.44915
850,-7.43989
851,-7.41409
852,-7.32094
853,-7.33591
854,-7.33871
855,-7.32116
856,-7.25239
857,-7.2238
858,-7.20053
859,-7.19673
860,-7.13958
861,-7.13875
862,-7.13392
863,-7.04963
864,-7.01084
865,-7.01712
866,-6.94862
867,-6.90997
868,-6.87596
869,-6.82142
870,-6.81057
871,-6.77249
872,-6.68773
873,-6.63412
874,-6.5905
875,-6.58407
876,-6.58071
877,-6.45291
878,-6.40556
879,-6.36968
880,-6.35956
881,-6.30955
882,-6.20204
883,-6.19559
884,-6.17893
885,-6.04171
886,-6.04414
887,-5.98742
888,-5.94247
889,-5.90039
890,-5.85865
891,-5.78938
892,-5.80815
893,-5.71143
894,-5.65416
895,-5.63452
896,-5.5891
897,-5.56487
898,-5.56452
899,-5.48594
900,-5.46329
901,-5.39412
902,-5.40146
903,-5.35609
904,-5.36788
905,-5.3313
906,-5.30294
907,-5.31152
908,-5.24459
909,-5.221
910,-5.25719
911,-5.22424
912,-5.20087
913,-5.19954
914,-5.16276
915,-5.20444
916,-5.12484
917,-5.08271
918,-5.08019
919,-5.08152
920,-5.0787
921,-5.06405
922,-5.03746
923,-4.98205
924,-5.0073
925,-5.00109
926,-4.95543
927,-5.01239
928,-4.97983
929,-4.96902
930,-4.94534
931,-4.92829
932,-4.93472
933,-4.93467
934,-4.91121
935,-4.89871
936,-4.92125
937,-4.90889
938,-4.8807
939,-4.88094
940,-4.86325
941,-4.89232
942,-4.85857
943,-4.87109
944,-4.83434
945,-4.84118
946,-4.7751
947,-4.78132
948,-4.83918
949,-4.79465
950,-4.68628
951,-4.75607
952,-4.72937
953,-4.6926
954,-4.70359
955,-4.73663
956,-4.73923
957,-4.66554
958,-4.66323
959,-4.64896
960,-4.68556
961,-4.74441
962,-4.67279
963,-4.69557
964,-4.70625
965,-4.66719
966,-4.65401
967,-4.66633
968,-4.66542
969,-4.71286
970,-4.67247
971,-4.68451
972,-4.66175
973,-4.63899
974,-4.63003
975,-4.67345
976,-4.61778
977,-4.63736
978,-4.70153
979,-4.6242
980,-4.58245
981,-4.61042
982,-4.68091
983,-4.64378
984,-4.62372
985,-4.65376
986,-4.69595
987,-4.58351
988,-4.63021
989,-4.65297
990,-4.63848
991,-4.64574
992,-4.6521
993,-4.62034
994,-4.62523
995,-4.64261
996,-4.64061
997,-4.61466
998,-4.57553
999,-4.60285
1000,-4.59256
