P0,
Index [1],dR [mm]
599,-9.29358
600,-9.15462
601,-9.10394
602,-9.11451
603,-9.22607
604,-9.22301
605,-9.1701
606,-9.14094
607,-9.1753
608,-9.12439
609,-9.20948
610,-9.07893
611,-9.13778
612,-9.10908
613,-9.17582
614,-9.01491
615,-9.0153
616,-9.12413
617,-9.06829
618,-9.04082
619,-9.17062
620,-9.1517
621,-9.1313
622,-9.05288
623,-9.12298
624,-9.09191
625,-9.02204
626,-8.98366
627,-9.01252
628,-8.98088
629,-8.95805
630,-8.94792
631,-8.88956
632,-8.95222
633,-8.91676
634,-8.98638
635,-9.00922
636,-8.97398
637,-8.93317
638,-8.94987
639,-9.01039
640,-8.98789
641,-8.92094
642,-8.95401
643,-8.96979
644,-8.93495
645,-8.88402
646,-8.96544
647,-8.9956
648,-8.99465
649,-9.00527
650,-9.02028
651,-8.97536
652,-9.06567
653,-8.96809
654,-9.05943
655,-9.04421
656,-9.05889
657,-9.10114
658,-9.10932
659,-9.11276
660,-9.12599
661,-9.14426
662,-9.15433
663,-9.15823
664,-9.09298
665,-9.16307
666,-9.1533
667,-9.21667
668,-9.18896
669,-9.16072
670,-9.19027
671,-9.32531
672,-9.35492
673,-9.43638
674,-9.42657
675,-9.36489
676,-9.42167
677,-9.38619
678,-9.31244
679,-9.42139
680,-9.54428
681,-9.55473
682,-9.48978
683,-9.5129
684,-9.54326
685,-9.54546
686,-9.58689
687,-9.66036
688,-9.76249
689,-9.63384
690,-9.66024
691,-9.71978
692,-9.80521
693,-9.79805
694,-9.82407
695,-9.91759
696,-9.82658
697,-9.82336
698,-9.95916
699,-10.0108
700,-10.086
701,-10.1193
702,-10.1341
703,-10.095
704,-10.178
705,-10.2742
706,-10.3612
707,-10.3602
708,-10.4481
709,-10.5307
710,-10.5987
711,-10.5179
712,-10.6186
713,-10.6923
714,-10.7269
715,-10.7403
716,-10.69
717,-10.7649
718,-10.8627
719,-10.9144
720,-10.9342
721,-10.9202
722,-10.8718
723,-10.9794
724,-10.9934
725,-11.0729
726,-11.1183
727,-11.1432
728,-11.1387
729,-11.0053
730,-11.1015
731,-11.1636
732,-11.0485
733,-11.2579
734,-11.2992
735,-11.2855
736,-11.1478
737,-11.3369
738,-11.4097
739,-11.3375
740,-11.2863
741,-11.4254
742,-11.3856
743,-11.3921
744,-11.317
745,-11.4818
746,-11.4181
747,-11.4739
748,-11.445
749,-11.4579
750,-11.5148
751,-11.5274
752,-11.4563
753,-11.4402
754,-11.5454
755,-11.4963
756,-11.4717
757,-11.4909
758,-11.4651
759,-11.4859
760,-11.4806
761,-11.455
762,-11.4847
763,-11.4165
764,-11.4732
765,-11.4485
766,-11.5393
767,-11.4393
768,-11.4095
769,-11.4283
770,-11.3048
771,-11.3408
772,-11.3762
773,-11.4223
774,-11.3738
775,-11.3468
776,-11.2833
777,-11.1666
778,-11.2075
779,-11.3032
780,-11.2213
781,-11.1874
782,-11.1864
783,-11.1904
784,-11.0029
785,-10.942
786,-11.0431
787,-11.1152
788,-11.0324
789,-10.9006
790,-10.8323
791,-10.9426
792,-10.753
793,-10.7717
794,-10.8077
795,-10.7804
796,-10.7862
797,-10.6563
798,-10.7116
799,-10.6889
800,-10.63
801,-10.5431
802,-10.6194
803,-10.5415
804,-10.5071
805,-10.4407
806,-10.4723
807,-10.3806
808,-10.3312
809,-10.3895
810,-10.4188
811,-10.3292
812,-10.3722
813,-10.3509
814,-10.3407
815,-10.3354
816,-10.3284
817,-10.2514
818,-10.2836
819,-10.2638
820,-10.2075
821,-10.1809
822,-10.1931
823,-10.1737
824,-10.17
825,-10.1714
826,-10.0848
827,-9.99705
828,-10.0823
829,-10.0455
830,-10.0473
831,-10.0733
832,-10.0733
833,-9.99951
834,-9.96201
835,-9.91542
836,-9.90586
837,-9.99184
838,-9.87904
839,-9.91966
840,-9.89679
841,-9.91255
842,-9.8633
843,-9.91567
844,-9.94211
845,-9.88073
846,-9.92959
847,-9.97068
848,-9.90219
849,-9.98733
850,-10.1069
851,-10.1255
852,-9.98494
853,-10.0107
854,-10.0542
855,-10.0342
856,-10.106
857,-10.1279
858,-10.0692
859,-10.1191
860,-10.1148
861,-10.2288
862,-10.1594
863,-10.2638
864,-10.3193
865,-10.3457
866,-10.3265
867,-10.3504
868,-10.3007
869,-10.3457
870,-10.4289
871,-10.5837
872,-10.4401
873,-10.433
874,-10.4868
875,-10.4697
876,-10.5693
877,-10.7086
878,-10.7289
879,-10.6843
880,-10.7033
881,-10.8025
882,-10.7699
883,-10.8442
884,-10.8888
885,-10.9424
886,-10.8832
887,-10.9984
888,-10.9906
889,-11.0406
890,-11.0442
891,-11.1572
892,-11.0889
893,-11.0838
894,-11.1538
895,-11.2433
896,-11.3087
897,-11.3071
898,-11.3264
899,-11.4294
900,-11.415
901,-11.477
902,-11.5197
