Average,P0,P1
Index [1],dR [mm],dR [mm]
453,-13.8539,-13.0376
454,-13.804,-12.9896
455,-13.7746,-12.9799
456,-13.76,-12.966
457,-13.7808,-12.9935
458,-13.807,-13.0134
459,-13.7861,-12.9952
460,-13.8134,-13.0243
461,-13.7976,-13.0026
462,-13.7813,-12.9959
463,-13.7792,-13.005
464,-13.7798,-12.9943
465,-13.836,-13.0421
466,-13.8153,-13.0375
467,-13.8378,-13.0454
468,-13.8286,-13.0719
469,-13.8653,-13.0853
470,-13.8376,-13.082
471,-13.7836,-13.0453
472,-13.8323,-13.0776
473,-13.8618,-13.0965
474,-13.8598,-13.0956
475,-13.8625,-13.1175
476,-13.9245,-13.1791
477,-13.9279,-13.1811
478,-13.8793,-13.1327
479,-13.8673,-13.1293
480,-13.939,-13.1819
481,-13.9492,-13.2029
482,-13.9349,-13.1934
483,-13.9277,-13.1811
484,-13.9533,-13.212
485,-13.9597,-13.2087
486,-13.873,-13.1602
487,-13.8905,-13.1488
488,-13.9499,-13.2203
489,-13.9647,-13.2353
490,-13.9455,-13.2174
491,-13.9297,-13.1948
492,-13.9668,-13.2292
493,-13.9721,-13.2359
494,-13.9565,-13.2504
495,-14.0009,-13.2607
496,-13.9897,-13.2535
497,-13.9885,-13.2598
498,-13.9494,-13.2207
499,-13.9561,-13.2112
500,-14.0061,-13.2755
501,-14.0393,-13.2851
502,-13.9994,-13.2517
503,-13.9617,-13.226
504,-14.0133,-13.2587
505,-14.0285,-13.284
506,-14.0323,-13.2647
507,-14.0154,-13.2686
508,-14.0348,-13.2591
509,-14.0781,-13.3156
510,-14.0756,-13.2803
511,-14.0808,-13.2821
512,-14.1259,-13.3249
513,-14.1329,-13.3127
514,-14.1173,-13.2942
515,-14.1317,-13.3178
516,-14.1208,-13.3038
517,-14.1294,-13.2994
518,-14.1677,-13.3405
519,-14.1575,-13.3153
520,-14.1607,-13.3265
521,-14.1746,-13.3399
522,-14.1755,-13.3168
523,-14.1938,-13.3406
524,-14.1954,-13.3433
525,-14.2056,-13.3485
526,-14.1891,-13.3407
527,-14.2203,-13.3337
528,-14.2546,-13.3853
529,-14.2584,-13.383
530,-14.2195,-13.3374
531,-14.2138,-13.3228
532,-14.204,-13.3174
533,-14.2115,-13.3274
534,-14.23,-13.346
535,-14.2463,-13.3589
536,-14.2224,-13.3333
537,-14.2128,-13.3224
538,-14.2217,-13.3316
539,-14.2157,-13.324
540,-14.2235,-13.33
541,-14.2377,-13.3456
542,-14.2659,-13.3828
543,-14.2402,-13.34
544,-14.201,-13.3236
545,-14.1855,-13.3008
546,-14.207,-13.32
547,-14.2261,-13.3449
548,-14.2277,-13.3452
549,-14.2134,-13.3423
550,-14.2043,-13.3227
551,-14.1583,-13.2983
552,-14.1115,-13.2405
553,-14.1529,-13.2758
554,-14.2008,-13.3355
555,-14.1905,-13.341
556,-14.2014,-13.3514
557,-14.1663,-13.3075
558,-14.153,-13.3042
559,-14.1552,-13.3084
560,-14.1089,-13.2647
561,-14.0887,-13.2321
562,-14.1072,-13.2532
563,-14.0819,-13.2428
564,-14.0697,-13.2551
565,-14.057,-13.254
566,-14.0245,-13.2053
567,-13.99,-13.1643
568,-13.9903,-13.176
569,-13.9729,-13.1643
570,-13.9653,-13.1866
571,-13.9525,-13.1422
572,-13.9496,-13.1475
573,-13.9355,-13.1356
574,-13.9263,-13.1379
575,-13.8786,-13.092
576,-13.8366,-13.0523
577,-13.8129,-13.0388
578,-13.8003,-13.0375
579,-13.7739,-12.998
580,-13.7542,-13.0185
581,-13.7249,-12.9645
582,-13.7152,-12.95
583,-13.6397,-12.9215
584,-13.6352,-12.9171
585,-13.6303,-12.9132
586,-13.6003,-12.8803
587,-13.6006,-12.8985
588,-13.5773,-12.89
589,-13.5719,-12.8774
590,-13.5535,-12.8623
591,-13.5227,-12.8318
592,-13.4866,-12.7894
593,-13.4792,-12.7847
594,-13.4395,-12.774
595,-13.4319,-12.7667
596,-13.4362,-12.7332
597,-13.3819,-12.7238
598,-13.3763,-12.6985
599,-13.3411,-12.6712
600,-13.2808,-12.6224
601,-13.2978,-12.5987
602,-13.32,-12.6442
603,-13.316,-12.582
604,-13.2611,-12.6093
605,-13.2052,-12.549
606,-13.2008,-12.5541
607,-13.154,-12.5366
608,-13.1018,-12.4379
609,-13.0997,-12.4504
610,-13.082,-12.4408
611,-13.088,-12.4691
612,-13.0331,-12.4062
613,-13.0137,-12.3687
614,-12.9971,-12.3975
615,-13.0044,-12.3825
616,-13.0105,-12.4038
617,-12.9489,-12.3294
618,-12.9506,-12.3229
619,-12.904,-12.2604
620,-12.8872,-12.2456
621,-12.8796,-12.2537
622,-12.9054,-12.2459
623,-12.8807,-12.2354
624,-12.857,-12.1787
625,-12.922,-12.2529
626,-12.9258,-12.2784
627,-12.9217,-12.2782
628,-12.8969,-12.2279
629,-12.8835,-12.1928
630,-12.8503,-12.1779
631,-12.8239,-12.1374
632,-12.7706,-12.069
633,,-12.0886
