AstroVIEW X
Type, Original
Time, 01/01/2002 12:28:49 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6015
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2535193 ,-0.01290           ,-0.01793           ,-0.01438           ,-0.01875           
2535194 ,-0.00490           ,-0.01117           ,-0.00753           ,-0.01208           
2535195 ,-0.00348           ,-0.00517           ,-0.00265           ,-0.00733           
2535196 ,-0.01617           ,-0.01010           ,-0.00720           ,-0.01160           
2535197 ,-0.02008           ,-0.01055           ,-0.01070           ,-0.01430           
2535198 ,-0.01012           ,-0.00360           ,-0.00912           ,-0.01075           
2535199 ,-0.00830           ,-0.00705           ,-0.01095           ,-0.01517           
2535200 ,-0.01340           ,-0.01610           ,-0.01458           ,-0.01722           
2535201 ,-0.00672           ,-0.01140           ,-0.00945           ,-0.01250           
2535202 ,-0.00312           ,-0.00410           ,-0.00370           ,-0.00650           
2535203 ,-0.01332           ,-0.00767           ,-0.00603           ,-0.00998           
2535204 ,-0.02098           ,-0.01080           ,-0.01153           ,-0.01388           
2535205 ,-0.01282           ,-0.00480           ,-0.01143           ,-0.01185           
2535206 ,-0.00788           ,-0.00583           ,-0.01093           ,-0.01453           
2535207 ,-0.01232           ,-0.01503           ,-0.01358           ,-0.01682           
2535208 ,-0.00835           ,-0.01362           ,-0.00980           ,-0.01440           
2535209 ,-0.00355           ,-0.00615           ,-0.00360           ,-0.00765           
2535210 ,-0.01075           ,-0.00738           ,-0.00433           ,-0.00903           
2535211 ,-0.02050           ,-0.01103           ,-0.01010           ,-0.01265           
2535212 ,-0.01580           ,-0.00717           ,-0.01225           ,-0.01310           
2535213 ,-0.00898           ,-0.00693           ,-0.01143           ,-0.01495           
2535214 ,-0.01117           ,-0.01445           ,-0.01258           ,-0.01670           
2535215 ,-0.00935           ,-0.01448           ,-0.01075           ,-0.01500           
2535216 ,-0.00427           ,-0.00733           ,-0.00550           ,-0.00900           
2535217 ,-0.00807           ,-0.00603           ,-0.00443           ,-0.00917           
2535218 ,-0.01765           ,-0.00962           ,-0.00990           ,-0.01227           
2535219 ,-0.01690           ,-0.00762           ,-0.01353           ,-0.01417           
2535220 ,-0.00965           ,-0.00680           ,-0.01188           ,-0.01540           
2535221 ,-0.00955           ,-0.01238           ,-0.01115           ,-0.01538           
2535222 ,-0.00930           ,-0.01338           ,-0.01012           ,-0.01472           
2535223 ,-0.00527           ,-0.00712           ,-0.00580           ,-0.00967           
2535224 ,-0.00698           ,-0.00503           ,-0.00333           ,-0.00888           
2535225 ,-0.01550           ,-0.00810           ,-0.00815           ,-0.01115           
2535226 ,-0.01832           ,-0.00800           ,-0.01272           ,-0.01425           
2535227 ,-0.01188           ,-0.00715           ,-0.01153           ,-0.01593           
2535228 ,-0.00940           ,-0.01110           ,-0.00980           ,-0.01540           
2535229 ,-0.00962           ,-0.01338           ,-0.00993           ,-0.01503           
2535230 ,-0.00710           ,-0.00893           ,-0.00753           ,-0.01150           
2535231 ,-0.00703           ,-0.00615           ,-0.00425           ,-0.00995           
2535232 ,-0.01358           ,-0.00830           ,-0.00762           ,-0.01090           
2535233 ,-0.01887           ,-0.00965           ,-0.01350           ,-0.01467           
2535234 ,-0.01412           ,-0.01038           ,-0.01332           ,-0.01687           
2535235 ,-0.00907           ,-0.01235           ,-0.01020           ,-0.01482           
2535236 ,-0.00900           ,-0.01398           ,-0.00962           ,-0.01395           
2535237 ,-0.00820           ,-0.01117           ,-0.00867           ,-0.01172           
2535238 ,-0.00750           ,-0.00783           ,-0.00472           ,-0.01025           
2535239 ,-0.01195           ,-0.00855           ,-0.00690           ,-0.00980           
2535240 ,-0.01887           ,-0.00975           ,-0.01315           ,-0.01358           
2535241 ,-0.01637           ,-0.01160           ,-0.01525           ,-0.01687           
2535242 ,-0.01005           ,-0.01227           ,-0.01093           ,-0.01510           
2535243 ,-0.00812           ,-0.01272           ,-0.00953           ,-0.01348           
2535244 ,-0.00860           ,-0.01050           ,-0.00953           ,-0.01243           
2535245 ,-0.00772           ,-0.00703           ,-0.00657           ,-0.01145           
2535246 ,-0.01040           ,-0.00638           ,-0.00705           ,-0.00945           
2535247 ,-0.01750           ,-0.00757           ,-0.01350           ,-0.01305           
2535248 ,-0.01805           ,-0.01085           ,-0.01685           ,-0.01722           
2535249 ,-0.01117           ,-0.01148           ,-0.01205           ,-0.01587           
2535250 ,-0.00710           ,-0.01112           ,-0.00870           ,-0.01327           
2535251 ,-0.00867           ,-0.01053           ,-0.00915           ,-0.01270           
2535252 ,-0.00783           ,-0.00827           ,-0.00672           ,-0.01290           
2535253 ,-0.00850           ,-0.00677           ,-0.00675           ,-0.00975           
2535254 ,-0.01438           ,-0.00767           ,-0.01217           ,-0.01208           
2535255 ,-0.01845           ,-0.01195           ,-0.01680           ,-0.01767           
2535256 ,-0.01248           ,-0.01327           ,-0.01248           ,-0.01740           
2535257 ,-0.00693           ,-0.01143           ,-0.00785           ,-0.01295           
2535258 ,-0.00845           ,-0.01072           ,-0.00853           ,-0.01227           
2535259 ,-0.00880           ,-0.00950           ,-0.00715           ,-0.01350           
2535260 ,-0.00838           ,-0.00722           ,-0.00665           ,-0.00943           
2535261 ,-0.01265           ,-0.00655           ,-0.01072           ,-0.01150           
2535262 ,-0.01955           ,-0.01175           ,-0.01587           ,-0.01732           
2535263 ,-0.01520           ,-0.01400           ,-0.01315           ,-0.01925           
2535264 ,-0.00753           ,-0.01155           ,-0.00770           ,-0.01335           
2535265 ,-0.00770           ,-0.00975           ,-0.00788           ,-0.01160           
2535266 ,-0.00927           ,-0.00985           ,-0.00845           ,-0.01417           
2535267 ,-0.00888           ,-0.00793           ,-0.00780           ,-0.01022           
2535268 ,-0.01100           ,-0.00612           ,-0.01025           ,-0.01048           
2535269 ,-0.01940           ,-0.01185           ,-0.01550           ,-0.01577           
2535270 ,-0.01775           ,-0.01577           ,-0.01412           ,-0.01960           
2535271 ,-0.00890           ,-0.01312           ,-0.00790           ,-0.01338           
2535272 ,-0.00683           ,-0.00972           ,-0.00667           ,-0.01072           
2535273 ,-0.01040           ,-0.01048           ,-0.00845           ,-0.01417           
2535274 ,-0.01050           ,-0.00867           ,-0.00895           ,-0.01165           
2535275 ,-0.01058           ,-0.00507           ,-0.01038           ,-0.01117           
2535276 ,-0.01867           ,-0.00955           ,-0.01498           ,-0.01567           
2535277 ,-0.02003           ,-0.01515           ,-0.01530           ,-0.02177           
2535278 ,-0.01115           ,-0.01375           ,-0.00958           ,-0.01580           
2535279 ,-0.00633           ,-0.00855           ,-0.00590           ,-0.01148           
2535280 ,-0.01048           ,-0.00927           ,-0.00803           ,-0.01443           
2535281 ,-0.01143           ,-0.00943           ,-0.00977           ,-0.01370           
2535282 ,-0.00975           ,-0.00422           ,-0.01030           ,-0.01193           
2535283 ,-0.01613           ,-0.00683           ,-0.01377           ,-0.01460           
2535284 ,-0.02087           ,-0.01403           ,-0.01558           ,-0.02210           
2535285 ,-0.01355           ,-0.01388           ,-0.01060           ,-0.01748           
2535286 ,-0.00572           ,-0.00738           ,-0.00525           ,-0.01132           
2535287 ,-0.00972           ,-0.00805           ,-0.00710           ,-0.01320           
2535288 ,-0.01227           ,-0.00943           ,-0.01080           ,-0.01412           
2535289 ,-0.00970           ,-0.00445           ,-0.01098           ,-0.01205           
2535290 ,-0.01360           ,-0.00567           ,-0.01315           ,-0.01308           
2535291 ,-0.02122           ,-0.01435           ,-0.01540           ,-0.02095           
2535292 ,-0.01658           ,-0.01620           ,-0.01205           ,-0.01855           
2535293 ,-0.00662           ,-0.00812           ,-0.00617           ,-0.01143           
2535294 ,-0.00860           ,-0.00785           ,-0.00683           ,-0.01200           
2535295 ,-0.01285           ,-0.01077           ,-0.01200           ,-0.01458           
2535296 ,-0.01035           ,-0.00633           ,-0.01220           ,-0.01243           
