AstroVIEW X
Type, Original
Time, 01/01/2002 12:30:04 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6013
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
1897190 ,-0.02875           ,-0.00783           ,-0.02053           ,-0.02815           
1897191 ,-0.02823           ,-0.01993           ,-0.02585           ,-0.02830           
1897192 ,-0.02348           ,-0.02558           ,-0.02408           ,-0.02368           
1897193 ,-0.01543           ,-0.02227           ,-0.01830           ,-0.01853           
1897194 ,-0.01190           ,-0.01598           ,-0.01160           ,-0.01775           
1897195 ,-0.01758           ,-0.00927           ,-0.00770           ,-0.01985           
1897196 ,-0.02572           ,-0.00398           ,-0.01140           ,-0.02500           
1897197 ,-0.02963           ,-0.00777           ,-0.02192           ,-0.03060           
1897198 ,-0.03025           ,-0.01985           ,-0.02758           ,-0.03173           
1897199 ,-0.02513           ,-0.02630           ,-0.02542           ,-0.02582           
1897200 ,-0.01585           ,-0.02337           ,-0.01877           ,-0.01882           
1897201 ,-0.01143           ,-0.01703           ,-0.01160           ,-0.01660           
1897202 ,-0.01670           ,-0.00955           ,-0.00712           ,-0.01795           
1897203 ,-0.02687           ,-0.00355           ,-0.01080           ,-0.02305           
1897204 ,-0.03280           ,-0.00698           ,-0.02208           ,-0.02965           
1897205 ,-0.03368           ,-0.02003           ,-0.02842           ,-0.03168           
1897206 ,-0.02810           ,-0.02727           ,-0.02625           ,-0.02580           
1897207 ,-0.01720           ,-0.02432           ,-0.01913           ,-0.01767           
1897208 ,-0.01062           ,-0.01710           ,-0.01090           ,-0.01453           
1897209 ,-0.01462           ,-0.00943           ,-0.00560           ,-0.01600           
1897210 ,-0.02622           ,-0.00260           ,-0.00890           ,-0.02163           
1897211 ,-0.03442           ,-0.00565           ,-0.02080           ,-0.03008           
1897212 ,-0.03618           ,-0.01940           ,-0.02875           ,-0.03292           
1897213 ,-0.03032           ,-0.02755           ,-0.02703           ,-0.02665           
1897214 ,-0.01872           ,-0.02475           ,-0.01970           ,-0.01703           
1897215 ,-0.01075           ,-0.01745           ,-0.01140           ,-0.01285           
1897216 ,-0.01360           ,-0.00982           ,-0.00577           ,-0.01467           
1897217 ,-0.02545           ,-0.00262           ,-0.00872           ,-0.02080           
1897218 ,-0.03595           ,-0.00535           ,-0.02043           ,-0.03058           
1897219 ,-0.03860           ,-0.01943           ,-0.02970           ,-0.03547           
1897220 ,-0.03210           ,-0.02855           ,-0.02942           ,-0.02968           
1897221 ,-0.01998           ,-0.02648           ,-0.02208           ,-0.01895           
1897222 ,-0.01058           ,-0.01885           ,-0.01298           ,-0.01317           
1897223 ,-0.01188           ,-0.01032           ,-0.00622           ,-0.01495           
1897224 ,-0.02287           ,-0.00167           ,-0.00855           ,-0.02150           
1897225 ,-0.03558           ,-0.00340           ,-0.02015           ,-0.03230           
1897226 ,-0.04085           ,-0.01735           ,-0.02947           ,-0.03875           
1897227 ,-0.03497           ,-0.02763           ,-0.02955           ,-0.03340           
1897228 ,-0.02218           ,-0.02608           ,-0.02248           ,-0.02168           
1897229 ,-0.01093           ,-0.01850           ,-0.01317           ,-0.01427           
1897230 ,-0.01053           ,-0.00977           ,-0.00593           ,-0.01455           
1897231 ,-0.02055           ,-0.00105           ,-0.00845           ,-0.02060           
1897232 ,-0.03542           ,-0.00285           ,-0.02090           ,-0.03123           
1897233 ,-0.04233           ,-0.01710           ,-0.03155           ,-0.03878           
1897234 ,-0.03747           ,-0.02880           ,-0.03205           ,-0.03337           
1897235 ,-0.02387           ,-0.02895           ,-0.02445           ,-0.02075           
1897236 ,-0.01130           ,-0.02137           ,-0.01395           ,-0.01240           
1897237 ,-0.00877           ,-0.01217           ,-0.00583           ,-0.01230           
1897238 ,-0.01755           ,-0.00278           ,-0.00745           ,-0.01815           
1897239 ,-0.03347           ,-0.00353           ,-0.01955           ,-0.02990           
1897240 ,-0.04285           ,-0.01758           ,-0.03073           ,-0.03942           
1897241 ,-0.03845           ,-0.03018           ,-0.03247           ,-0.03610           
1897242 ,-0.02487           ,-0.03035           ,-0.02540           ,-0.02282           
1897243 ,-0.01100           ,-0.02265           ,-0.01493           ,-0.01272           
1897244 ,-0.00627           ,-0.01305           ,-0.00585           ,-0.01172           
1897245 ,-0.01412           ,-0.00267           ,-0.00695           ,-0.01782           
1897246 ,-0.03047           ,-0.00200           ,-0.01830           ,-0.02973           
1897247 ,-0.04278           ,-0.01538           ,-0.02990           ,-0.04083           
1897248 ,-0.04040           ,-0.02860           ,-0.03235           ,-0.03902           
1897249 ,-0.02637           ,-0.02958           ,-0.02600           ,-0.02555           
1897250 ,-0.01238           ,-0.02232           ,-0.01565           ,-0.01375           
1897251 ,-0.00730           ,-0.01265           ,-0.00662           ,-0.01115           
1897252 ,-0.01338           ,-0.00207           ,-0.00700           ,-0.01587           
1897253 ,-0.02875           ,-0.00105           ,-0.01770           ,-0.02748           
1897254 ,-0.04365           ,-0.01345           ,-0.02877           ,-0.03968           
1897255 ,-0.04352           ,-0.02737           ,-0.03263           ,-0.03920           
1897256 ,-0.02950           ,-0.02970           ,-0.02722           ,-0.02650           
1897257 ,-0.01408           ,-0.02345           ,-0.01670           ,-0.01415           
1897258 ,-0.00670           ,-0.01405           ,-0.00662           ,-0.01060           
1897259 ,-0.01210           ,-0.00280           ,-0.00617           ,-0.01563           
1897260 ,-0.02663           ,-0.00093           ,-0.01655           ,-0.02768           
1897261 ,-0.04273           ,-0.01295           ,-0.02787           ,-0.04087           
1897262 ,-0.04495           ,-0.02763           ,-0.03258           ,-0.04180           
1897263 ,-0.03215           ,-0.03047           ,-0.02830           ,-0.02992           
1897264 ,-0.01620           ,-0.02472           ,-0.01772           ,-0.01695           
1897265 ,-0.00745           ,-0.01493           ,-0.00698           ,-0.01270           
1897266 ,-0.01105           ,-0.00340           ,-0.00550           ,-0.01635           
1897267 ,-0.02455           ,-0.00088           ,-0.01572           ,-0.02720           
1897268 ,-0.04195           ,-0.01253           ,-0.02705           ,-0.04037           
1897269 ,-0.04663           ,-0.02695           ,-0.03220           ,-0.04300           
1897270 ,-0.03482           ,-0.03077           ,-0.02860           ,-0.03142           
1897271 ,-0.01845           ,-0.02498           ,-0.01900           ,-0.01715           
1897272 ,-0.00870           ,-0.01550           ,-0.00775           ,-0.01177           
1897273 ,-0.01015           ,-0.00410           ,-0.00585           ,-0.01427           
1897274 ,-0.02218           ,-0.00110           ,-0.01477           ,-0.02472           
1897275 ,-0.04013           ,-0.01167           ,-0.02572           ,-0.03840           
1897276 ,-0.04790           ,-0.02600           ,-0.03158           ,-0.04347           
1897277 ,-0.03768           ,-0.03058           ,-0.02932           ,-0.03350           
1897278 ,-0.02070           ,-0.02537           ,-0.02013           ,-0.01900           
1897279 ,-0.00993           ,-0.01627           ,-0.00840           ,-0.01208           
1897280 ,-0.01055           ,-0.00498           ,-0.00600           ,-0.01375           
1897281 ,-0.02158           ,-0.00193           ,-0.01462           ,-0.02340           
1897282 ,-0.03892           ,-0.01195           ,-0.02540           ,-0.03680           
1897283 ,-0.04878           ,-0.02613           ,-0.03095           ,-0.04313           
1897284 ,-0.04033           ,-0.03160           ,-0.02942           ,-0.03608           
1897285 ,-0.02335           ,-0.02808           ,-0.02072           ,-0.02227           
1897286 ,-0.01195           ,-0.01953           ,-0.00900           ,-0.01390           
1897287 ,-0.01072           ,-0.00660           ,-0.00577           ,-0.01420           
1897288 ,-0.02022           ,-0.00217           ,-0.01372           ,-0.02358           
1897289 ,-0.03663           ,-0.01100           ,-0.02460           ,-0.03742           
1897290 ,-0.04862           ,-0.02470           ,-0.03042           ,-0.04425           
1897291 ,-0.04273           ,-0.02995           ,-0.02970           ,-0.03868           
1897292 ,-0.02608           ,-0.02618           ,-0.02210           ,-0.02692           
1897293 ,-0.01355           ,-0.01805           ,-0.01067           ,-0.01945           
1897294 ,-0.01122           ,-0.00572           ,-0.00710           ,-0.01875           
1897295 ,-0.01913           ,-0.00038           ,-0.01455           ,-0.02660           
1897296 ,-0.03408           ,-0.00843           ,-0.02453           ,-0.03958           
1897297 ,-0.04725           ,-0.02232           ,-0.03000           ,-0.04700           
1897298 ,-0.04425           ,-0.02903           ,-0.02982           ,-0.04160           
1897299 ,-0.02885           ,-0.02687           ,-0.02265           ,-0.02877           
1897300 ,-0.01587           ,-0.01922           ,-0.01130           ,-0.01982           
1897301 ,-0.01285           ,-0.00693           ,-0.00700           ,-0.01777           
1897302 ,-0.01863           ,-0.00170           ,-0.01385           ,-0.02322           
1897303 ,-0.03255           ,-0.01008           ,-0.02370           ,-0.03442           
1897304 ,-0.04578           ,-0.02387           ,-0.02923           ,-0.04200           
1897305 ,-0.04542           ,-0.02997           ,-0.02977           ,-0.03770           
1897306 ,-0.03185           ,-0.02845           ,-0.02380           ,-0.02635           
1897307 ,-0.01805           ,-0.02148           ,-0.01270           ,-0.01758           
1897308 ,-0.01345           ,-0.00975           ,-0.00825           ,-0.01558           
1897309 ,-0.01827           ,-0.00477           ,-0.01462           ,-0.02087           
1897310 ,-0.03040           ,-0.01232           ,-0.02392           ,-0.03173           
1897311 ,-0.04345           ,-0.02530           ,-0.02940           ,-0.03942           
1897312 ,-0.04575           ,-0.03058           ,-0.03032           ,-0.03690           
1897313 ,-0.03342           ,-0.02887           ,-0.02482           ,-0.02708           
1897314 ,-0.01922           ,-0.02322           ,-0.01453           ,-0.01887           
1897315 ,-0.01367           ,-0.01277           ,-0.00955           ,-0.01667           
1897316 ,-0.01715           ,-0.00610           ,-0.01485           ,-0.02080           
1897317 ,-0.02805           ,-0.01155           ,-0.02387           ,-0.03027           
1897318 ,-0.04000           ,-0.02368           ,-0.02850           ,-0.03730           
1897319 ,-0.04397           ,-0.02985           ,-0.02885           ,-0.03525           
1897320 ,-0.03392           ,-0.02835           ,-0.02470           ,-0.02665           
1897321 ,-0.02072           ,-0.02265           ,-0.01525           ,-0.01887           
1897322 ,-0.01522           ,-0.01248           ,-0.01070           ,-0.01625           
1897323 ,-0.01758           ,-0.00672           ,-0.01560           ,-0.01940           
1897324 ,-0.02648           ,-0.01200           ,-0.02400           ,-0.02815           
1897325 ,-0.03705           ,-0.02437           ,-0.02823           ,-0.03547           
1897326 ,-0.04223           ,-0.03013           ,-0.02840           ,-0.03468           
1897327 ,-0.03480           ,-0.02910           ,-0.02482           ,-0.02730           
1897328 ,-0.02242           ,-0.02408           ,-0.01625           ,-0.01975           
1897329 ,-0.01608           ,-0.01390           ,-0.01200           ,-0.01653           
1897330 ,-0.01772           ,-0.00735           ,-0.01658           ,-0.01835           
1897331 ,-0.02555           ,-0.01165           ,-0.02458           ,-0.02585           
1897332 ,-0.03465           ,-0.02355           ,-0.02863           ,-0.03335           
1897333 ,-0.03978           ,-0.02835           ,-0.02880           ,-0.03277           
1897334 ,-0.03445           ,-0.02690           ,-0.02530           ,-0.02775           
1897335 ,-0.02342           ,-0.02295           ,-0.01725           ,-0.02287           
1897336 ,-0.01705           ,-0.01410           ,-0.01300           ,-0.02095           
1897337 ,-0.01817           ,-0.00733           ,-0.01737           ,-0.02308           
1897338 ,-0.02477           ,-0.01103           ,-0.02463           ,-0.02990           
1897339 ,-0.03310           ,-0.02237           ,-0.02800           ,-0.03668           
1897340 ,-0.03830           ,-0.02682           ,-0.02742           ,-0.03568           
1897341 ,-0.03523           ,-0.02525           ,-0.02422           ,-0.03060           
1897342 ,-0.02540           ,-0.02145           ,-0.01690           ,-0.02537           
1897343 ,-0.01872           ,-0.01350           ,-0.01310           ,-0.02387           
1897344 ,-0.01875           ,-0.00762           ,-0.01715           ,-0.02510           
1897345 ,-0.02477           ,-0.01148           ,-0.02392           ,-0.03058           
1897346 ,-0.03223           ,-0.02290           ,-0.02653           ,-0.03568           
1897347 ,-0.03702           ,-0.02713           ,-0.02575           ,-0.03418           
1897348 ,-0.03602           ,-0.02480           ,-0.02258           ,-0.02973           
1897349 ,-0.02800           ,-0.02058           ,-0.01622           ,-0.02568           
